Kood;Vanem;Tegevusala tekst;SIIA KUULUB;SIIA KUULUB VEEL;SIIA EI KUULU;ERIALALIIDUD;ON ERINÕUDEID?
A;;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;"Siia jakku kuulub taimsete ja loomsete loodusvarade kasutamine. Siia kuulub taimekasvatus, loomade kasvatamine ja aretamine, puidu ja taimede kogumine ning loomsete toodete tootmine põllumajandusettevõttes või looduslikes elupaikades.
Siia jakku kuulub ka mahepõllumajandus, vesiviljelus, geneetiliselt muundatud põllukultuuride ning geneetiliselt muundatud loomade kasvatamine";;kodumajapidamiste oma tarbeks mõeldud eristamata kaupade tootmine, mis liigitatakse klassi 9810.;"Eesti E-kaubanduse Liit
Eesti Kaubandus-Tööstuskoda
Eesti Kaupmeeste Liit
Eesti Tööandjate Keskliit
Eesti Väike – ja Keskmiste Ettevõtjate Assotsiatsioon (EVEA)
Rahvusvaheline Kaubanduskoda ICC Eesti";EI
01;A;Taime- ja loomakasvatus, jahindus ja neid teenindavad tegevusalad;"Siia ossa kuulub kaks tegevust: taimede ja loomade kasvatamine.
Grupis 015 „Segapõllumajandus“ ei järgita tavapäraseid põhitegevuse kindlaksmääramise põhimõtteid. Arvestatakse sellega, et paljudes põllumajandusüksustes on taime- ja loomakasvatus enam-vähem tasakaalus ning et nende liigitamine ühte või teise kategooriasse oleks meelevaldne.
Siia ossa kuulub ka taimede kasvatamine ilma mullata, nt hüdropoonika ja akvapoonika meetodeid kasutades.
RAKENDAMISE REEGEL:
Põllumajanduses on lisandväärtuse jaotamine sageli keeruline näiteks juhul, kui üksus kasvatab viinamarju ja toodab omakasvatatud viinamarjadest veini või kasvatab oliive ja toodab omakasvatatud oliividest õli. Sellistel juhtudel on sobivaim vahendusmuutuja töötatud tundide arv. Kasutades seda muutujat niisuguste vertikaalselt integreeritud tegevuste korral, liigitatakse üksused üldiselt põllumajanduse alla. Muude põllumajandustoodete puhul liigitatakse üksused samasuguses olukorras kokkuleppeliselt põllumajanduse alla, et tagada ühtlustatud käsitlus.
Siia ossa kuuluvad ka põllumajandusega ja jahindusega seotud tegevused ja teenused";"Osa 01 hõlmab lisaks kasvuhoonetele ka katmikalasid.
Põllumajandusliku üksuse suurus ei ole määrav tegur. Kui taimekasvatuse või loomakasvatuse toodang moodustab standardsest brutomarginaalist 66% või enam, siis kuulub üksus taime- või loomakasvatuse alla.";"Põllumajanduslike tegevuste hulka ei kuulu põllumajandustoodete edasine töötlemine (liigitatud osadesse 10, 11 ja 12), v.a see, mida on vaja nende esmaseks turustamiseks. Toodete ettevalmistamine esmaseks turustamiseks kuulub siia ossa.
põldude rajamine (nt põllumajandusmaadele terrasside rajamine, kuivendamine, riisipõldude ettevalmistamine), mis liigitatakse jakku F, ning põllumajandussaaduste turustamisega seotud vahendajad ja ühistud, mis liigitatakse jakku G. Siia ei kuulu ka maastiku hooldus ja korrashoid (liigitatud klassi 8130).";"Eesti E-kaubanduse Liit
Eesti Kaubandus-Tööstuskoda
Eesti Kaupmeeste Liit
Eesti Põllumajandus-Kaubanduskoda
Eesti Tööandjate Keskliit
Eesti Väike – ja Keskmiste Ettevõtjate Assotsiatsioon (EVEA)
Rahvusvaheline Kaubanduskoda ICC Eesti";EI
011;01;Üheaastaste põllukultuuride kasvatus;Siia gruppi kuulub üheaastaste põllukultuuride kasvatamine. Üheaastased on taimed, mille eluiga ei ületa üht vegetatsiooniperioodi. Siia kuulub ka nende taimede kasvatamine seemnete tootmiseks.;;;;EI
0111;011;Teravilja- (v.a riis), kaunvilja- ja õlitaimeseemnete kasvatus;"Siia klassi kuulub teraviljade, kaunviljade ja õlikultuuride kasvatamine mistahes kujul. Siia kuulub ka nende taimede kasvatamine seemnetootmise eesmärgil. Põllumajanduslikes majapidamistes on nende kultuuride kasvatamine sageli kombineeritud.
Siia klassi kuulub:
- teraviljakasvatus, sh:
 • nisu
 • mais
 • sorgo
 • oder
 • rukis
 • kaer
 • hirss
 • pseudoteraviljad, st puuviljad või seemned, mida kasutatakse nagu teravilju, sh:
 • kinoa
 • amarant
 • tšiia (õlisalvei)
- kaunviljade kasvatamine, sh:
 • oad
 • põldoad
 • kikerherned
 • silmoad
 • läätsed
 • lupiinid (hundioad)
 • herned
 • tuviherned
- õlikultuuride kasvatamine, sh:
 • sojaoad
 • maapähklid
 • riitsinus
 • linaseemned
 • sinepiseemned
 • õliramtilla
 • raps
 • saflooriseemned
 • seesamiseemned
 • päevalilleseemned";;"riisi kasvatamine, vt 0112
suhkrumaisi kasvatamine, vt 0113
maisi, lupiini või lehtkapsa kasvatamine söödaks, vt 0119
õliviljade kasvatamine, vt 0126";;JAH
01111;0111;Teravilja- (v.a riis), kaunvilja- ja õlitaimeseemnete kasvatus;"Siia klassi kuulub teraviljade, kaunviljade ja õlikultuuride kasvatamine mistahes kujul. Siia kuulub ka nende taimede kasvatamine seemnetootmise eesmärgil. Põllumajanduslikes majapidamistes on nende kultuuride kasvatamine sageli kombineeritud.
Siia klassi kuulub:
- teraviljakasvatus, sh: nisu, mais, sorgo, oder, rukis, kaer, hirss; pseudoteraviljad, st puuviljad või seemned, mida kasutatakse nagu teravilju, sh: kinoa, amarant, tšiia (õlisalvei)
- kaunviljade kasvatamine, sh: oad, põldoad, kikerherned, silmoad, läätsed, lupiinid (hundioad), herned, tuviherned
- õlikultuuride kasvatamine, sh: sojaoad, maapähklid, riitsinus, linaseemned, sinepiseemned, õliramtilla, raps, saflooriseemned, seesamiseemned, päevalilleseemned";"rüpsi kasvatamine, õlikanepiseemnete kasvatamine
teravilja, kaunvilja, õliseemne idandite kasvatamine";"riisi kasvatamine, vt 01121
suhkrumaisi kasvatamine, vt 01131
maisi, lupiini või lehtkapsa kasvatamine söödaks, vt 01192
õliviljade kasvatamine, vt 01261";;JAH
0112;011;Riisikasvatus;"Siia klassi kuulub:
- riisi kasvatamine";;;;EI
01121;0112;Riisikasvatus;"Siia klassi kuulub:
- riisi kasvatamine";;;;EI
0113;011;Köögivilja- ja melonikasvatus, juurvilja- ja mugulviljakasvatus;"Siia klassi kuulub:
- leht- või varsköögiviljade kasvatamine, nt:
 • artišokid
 • spargel
 • kapsad
 • lillkapsas ja brokoli
 • salat ja sigur
 • spinat
- viliköögiviljade kasvatamine, nt:
 • kurgid
 • baklažaanid
 • tomatid
 • arbuusid
- juur-, sibul- või mugulköögiviljade kasvatamine, nt:
 • porgandid
 • naerid
 • küüslauk
 • sibulad (k.a šalottsibulad)
 • porrulauk vm laugud
- seente ja trühvlite kasvatamine
- juurviljaseemnete, k.a suhkrupeediseemnete kasvatamine (v.a muud peediseemned)
- suhkrupeedi kasvatamine
- tšilli ja paprika (Capsicum spp.) kasvatamine
- juurte ja mugulate kasvatamine, nt:
 • kartulid
 • maguskartulid ehk bataadid
 • maniokk
 • jamss
 • kaalikad ja peedid
Siia klassi kuulub ka:
- suhkrumaisi kasvatamine";;"vürtside, maitse- ja ravimtaimede kasvatamine, vt 0128
mütseeli kasvatamine, vt 0130";;JAH
01131;0113;Köögivilja- ja melonikasvatus, juurvilja- ja mugulviljakasvatus;"Siia klassi kuulub:
- leht- või varsköögiviljade kasvatamine, nt: artišokid, spargel, kapsad, lillkapsas, brokoli, salat, sigur, spinat 
- viliköögiviljade kasvatamine, nt: kurgid, baklažaanid, tomatid, arbuus, kantaluup-melon jm melonid jm viliköögiviljad
- juur-, sibul- või mugulköögiviljade kasvatamine, nt: porgandid, naerid, küüslauk, sibulad (k.a šalottsibulad), porrulauk vm laugud jm juur-, sibul- ja mugulköögiviljad
- seente ja trühvlite kasvatamine
- juur-ja köögiviljaseemnete, k.a suhkrupeediseemnete kasvatamine (v.a muud peediseemned)
- suhkrupeedi kasvatamine
- tšilli ja paprika (Capsicum spp.) kasvatamine
- juurte ja mugulate kasvatamine, nt: kartulid, maguskartulid ehk bataadid, maniokk, kaalikad ja peedid 
Siia klassi kuulub ka:
- suhkrumaisi kasvatamine";"köögivilja idandite kasvatamine
köögiviljaseemnete kasvatamine
magus paprika (salatipaprika) kasvatamine
muude leht- ja varsköögiviljade kasvatamine
rabarberi kasvatamine";"vürtside, maitse- ja ravimtaimede kasvatamine, vt 01281
mütseeli kasvatamine, vt 01301";;JAH
0114;011;Suhkrurookasvatus;;;suhkrupeedi kasvatamine, vt 0113;;EI
01141;0114;Suhkrurookasvatus;Siia kuulub ühe- ja mitmeaastane suhkrurookasvatus;;suhkrupeedi kasvatamine, vt 01131;;EI
0115;011;Tubakakasvatus;"Siia klassi kuulub:
- töötlemata tubaka kasvatamine
Siia klassi kuulub ka:
- tubakakasvatusega seotud tubaka esmane töötlemine";;"tubakalehtede töötlemine (nt päikesekuivatamine) kolmanda osapoole poolt, vt 0163
tubakatoodete tootmine, vt 1200";;EI
01151;0115;Tubakakasvatus;"Siia klassi kuulub ka:
- tubakakasvatusega seotud tubaka esmane töötlemine";;"tubakalehtede töötlemine (nt päikesekuivatamine) kolmanda osapoole poolt, vt 01631
tubakatoodete tootmine, vt 12001";;EI
0116;011;Kiutaimekasvatus;"Siia klassi kuulub kiukultuuride kasvatamine, nt:
- puuvilla kasvatamine
- džuudi, kanephibiski (kenaffi) ja teiste niinekiudude kasvatamine
- lina ja kanepi kasvatamine
- sisaliagaavi ja teiste agaavi perekonda kuuluvate tekstiilkiudude kasvatamine
- abaka, ramjee vm taimsete tekstiilkiudude kasvatamine";;;;EI
01161;0116;Kiutaimekasvatus;"Siia klassi kuulub kiukultuuride kasvatamine, nt:
- puuvilla kasvatamine
- džuudi, kanephibiski (kenaffi) ja teiste niinekiudude kasvatamine
- lina ja kanepi kasvatamine
- sisaliagaavi ja teiste agaavi perekonda kuuluvate tekstiilkiudude kasvatamine
- abaka, ramjee vm taimsete tekstiilkiudude kasvatamine";Siia kuulub ka ühe- ja mitmeaastane kiutaimekasvatus;;;EI
0119;011;Muude üheaastaste põllukultuuride kasvatus;"Siia klassi kuulub muude üheaastaste põllukultuuride kasvatamine, nt:
- ristiku, lutserni, esparseti, maisi, lupiini, muude rohttaimede, söödakapsa vm sarnaste söödataimede kasvatamine
- peediseemnete ja söödataimede seemnete kasvatamine
- lillede kasvatamine
- lillede ja õiepungade lõikus
- lilleseemnete kasvatamine
Siia klassi kuulub ka:
- mitmeaastaste lillede ja muude dekoratiivtaimede kasvatamine";;"suhkrupeediseemnete kasvatamine, vt 0113
üheaastaste vürtside, maitse- ja ravimtaimede kasvatamine, vt 0128";;JAH
01191;0119;Lillekasvatus;"Siia klassi kuulub:
- lillede kasvatamine
- lõikelillede ja õienuppude kasvatamine 
- lillede ja õiepungade lõikus
- lilleseemnete kasvatamine
Siia klassi kuulub ka:
- mitmeaastaste lillede ja muude dekoratiivtaimede kasvatamine";;;;JAH
01192;0119;Sööda- ja heintaimekasvatus jm üheaastaste põllukultuuride kasvatus;"Siia klassi kuulub muude üheaastaste söödakultuuri-, heintaime- jm sarnaste põllukultuuride kasvatamine, nt:
- ristiku, lutserni, esparseti, maisi, lupiini, muude rohttaimede, söödakapsa vm sarnaste söödataimede kasvatamine
- peediseemnete ja söödataimede seemnete kasvatamine";loomasöödaks mõeldud kultuuride kasvatamine;"suhkrupeediseemnete kasvatamine, vt 01131
üheaastaste vürtside, maitse- ja ravimtaimede kasvatamine, vt 01281
mitmeaastaste söödakultuuri-, heintaime- jm sarnaste põllukultuuride kasvatamine, vt 01291
oma kasvatatud põllukultuuridest silo valmistamine, vt 10911";;JAH
012;01;Mitmeaastaste taimede kasvatus;Siia rühma kuulub mitmeaastaste kultuuride kasvatamine, st taimed, mille eluiga on pikem kui kaks kasvuperioodi, olenemata sellest, kas nad on igihaljad või heitlehised. Siia kuulub ka nende taimede kasvatamine seemnetootmise eesmärgil.;;mitmeaastaste lillede ja muude dekoratiivtaimede kasvatamine, vt 01191;;EI
0121;012;Viinamarjakasvatus;"Siia klassi kuulub:
- viinamarjade kasvatamine kohe tarbimiseks või veini, mahla, äädika või kuivatatud puuviljade, nt rosinate või korintide tootmiseks";;"mahla tootmine, vt 1032
veini tootmine, vt 1102";;JAH
01211;0121;Viinamarjakasvatus;"Siia klassi kuulub:
- viinamarjade kasvatamine kohe tarbimiseks või veini, mahla, äädika või kuivatatud puuviljade, nt rosinate või korintide tootmiseks";;"mahla tootmine, vt 10321
veini tootmine, vt 11021";;JAH
0122;012;Troopiliste ja subtroopiliste viljade kasvatus;"Siia klassi kuulub:
- troopiliste ja subtroopiliste viljade kasvatamine, nt:
 • avokaadod
 • banaanid ja jahubanaanid
 • datlid
 • viigimarjad
 • mangod
 • papaiad
 • ananassid
 • rambutanid
 • litšid";;;;JAH
01221;0122;Troopiliste ja subtroopiliste viljade kasvatus;"Siia klassi kuulub:
- troopiliste ja subtroopiliste viljade kasvatamine, nt: avokaadod, banaanid ja jahubanaanid, datlid, viigimarjad, mangod, papaiad, ananassid, rambutanid, litšid";;;;JAH
0123;012;Tsitruseliste kasvatus;"Siia klassi kuulub:
- tsitruseliste kasvatus, nt:
 • greibid ja pomelid
 • sidrunid ja laimid
 • apelsinid
 • tangeriinid, mandariinid ja klementiinid";;;;JAH
01231;0123;Tsitruseliste kasvatus;"Siia klassi kuulub:
- tsitruseliste kasvatamine, nt: greibid ja pomelid, sidrunid ja laimid, apelsinid, tangeriinid, mandariinid ja klementiinid";;;;JAH
0124;012;Õun- ja luuviljaliste puuviljade kasvatus;"Siia klassi kuulub:
- õun- ja luuviljaliste puuviljade kasvatus, nt:
 • õunad
 • aprikoosid
 • kirsid ja hapukirsid
 • virsikud ja nektariinid
 • pirnid ja küdooniad
 • ploomid ja laukaploomid";;"mangode, rambutanide ja litšide kasvatamine, vt 0122
oliivide kasvatamine, vt 0126";;JAH
01241;0124;Õun- ja luuviljaliste puuviljade kasvatus;"Siia klassi kuulub:
- õun-ja luuviljaliste puuviljade kasvatamine, nt: õun, aprikoos, kirss ja hapukirss e murel, virsik, nektariin, pirn, küdoonia, ploom ja laukaploom";;"mangode, rambutanide ja litšide kasvatamine, vt 01221
oliivide kasvatamine, vt 01261";;JAH
0125;012;Muu puuvilja-, marja- ning pähklikasvatus;"Siia klassi kuulub:
- marjade kasvatamine, nt:
 • mustikad
 • sõstrad
 • karusmarjad
 • kiivid
 • vaarikad
 • maasikad
 • astelpaju
- puuviljaseemnete kasvatamine
- söödavate pähklite kasvatamine, nt:
 • mandlid
 • india pähklid
 • kastanid
 • sarapuupähklid
 • pistaatsiapähklid
 • kreeka pähklid
 • piiniapähklid
- muude puuviljade ja marjade kasvatamine, nt:
 • jaanikaunad";;kookospähklite kasvatamine, vt 0126;;JAH
01251;0125;Muu puuvilja-, marja- ning pähklikasvatus;"Siia klassi kuulub:
- marjade kasvatamine, nt: mustikas, sõstar, karusmari, kiivi, vaarikas, maasikas, astelpaju 
- puuviljaseemnete kasvatamine
- söödavate pähklite kasvatamine, nt: mandlid, india pähklid, kastanid, sarapuupähklid, pistaatsiapähklid, kreeka pähklid, piiniapähklid
- muude puuviljade ja marjade kasvatamine, nt: jaanikaunad";;kookospähklite kasvatamine, vt 01261;;JAH
0126;012;Õliviljade kasvatus;"Siia klassi kuulub:
- õliviljade kasvatamine, nt:
 • kookospähklid
 • oliivid
 • õlipalmid";;"sojaubade, maapähklite vm õliseemnete kasvatamine, vt 0111
pähklite, nt kreeka pähklite, mandlite, sarapuupähklite, seedermänniseemnete, pistaatsiapähklite kasvatamine õli saamiseks, vt 0125";;EI
01261;0126;Õliviljade kasvatus;"Siia klassi kuulub:
- õliviljade kasvatamine, nt: kookospähklid, oliivid, õlipalmid";;"sojaubade, maapähklite vm õliseemnete kasvatamine, vt 01111
pähklite, nt kreeka pähklite, mandlite, sarapuupähklite, seedermänniseemnete, pistaatsiapähklite kasvatamine õli saamiseks, vt 01251";;EI
0127;012;Joogitaimekasvatus;"Siia klassi kuulub:
- joogitaimede kasvatamine, nt:
 • kohv
 • tee
 • mate
 • kakao";;"viinamarjade kasvatamine, vt 0121
humala kasvatamine, vt 0128";;EI
01271;0127;Joogitaimekasvatus;"Siia klassi kuulub:
- joogitaimede kasvatamine, nt: kohv, tee, mate, kakao";;"viinamarjade kasvatamine, vt 01211
humala kasvatamine, vt 01281";;EI
0128;012;Vürtsi-, maitse-, uimastavate taimede ja ravimtaimede kasvatus;"Siia klassi kuulub:
- ühe- ja mitmeaastaste vürtsi- ja maitsetaimede kasvatamine, nt:
 • pipar (Piper spp.)
 • muskaatpähkel, muskaatõis ja kardemon
 • aniis, tähtaniis ja apteegitill vürtsi- või maitseainena
 • kaneel (kanella)
 • nelk
 • ingver
 • vanill
 • humal
 • köömned
- ravim- ja uimastavate taimede kasvatamine
Siia klassi kuulub ka:
- taimede kasvatamisega seotud vürtsi-, maitse- ja ravimtaimede päikesekuivatamine";;vürtsi-, maitse- ja ravimtaimede kuivatamine kolmandate isikute poolt, vt 0163;;EI
01281;0128;Vürtsi-, maitse-, uimastavate taimede ja ravimtaimede kasvatus;"Siia klassi kuulub:
- ühe- ja mitmeaastaste vürtsi- ja maitsetaimede kasvatamine, nt: pipar (Piper spp.), muskaatpähkel, muskaatõis ja kardemon, aniis, tähtaniis ja apteegitill vürtsi- või maitseainena, kaneel (kanella), nelk, ingver, vanill, humal, köömned
- ravim- ja uimastavate taimede kasvatamine
Siia klassi kuulub ka:
- taimede kasvatamisega seotud vürtsi-, maitse- ja ravimtaimede päikesekuivatamine";"farmaatsia- ja parfümeeriatööstuses kasutatavate taimede kasvatamine
põhiliselt insektitsiididena, fungitsiididena jms kasutatavate taimede kasvatamine";vürtsi-, maitse- ja ravimtaimede kuivatamine kolmandate isikute poolt, vt 01631;;EI
0129;012;Muude mitmeaastaste taimede kasvatus;"Siia klassi kuulub:
- kummipuude kasvatamine lateksi kogumiseks
- jõulupuude kasvatamine
- puude kasvatamine mahla kogumiseks
- peamiselt punutiste tegemiseks kasutatava taimse materjali kasvatamine";;"lillede ja lilleseemnete kasvatamine, õiepungade lõikus, vt 0119
puumahla ja kummitaolise vaigu kogumine looduses, vt 0230";;EI
01291;0129;Muude mitmeaastaste taimede kasvatus;"Siia klassi kuulub:
- kummipuude kasvatamine lateksi kogumiseks
- jõulupuude kasvatamine
- puude kasvatamine mahla kogumiseks
- peamiselt punutiste tegemiseks kasutatava taimse materjali kasvatamine";;"lillede ja lilleseemnete kasvatamine, õiepungade lõikus, vt 01191
puumahla ja kummitaolise vaigu kogumine looduses, vt 02301";;EI
013;01;Taimede paljundamine;;;;;EI
0130;013;Taimede paljundamine;"Siia klassi kuulub kogu taimelise istutusmaterjali tootmine, k.a pistikute, juurevõsude ja seemikute kasvatamine kas taimede otseseks paljundamiseks või selleks, et luua pookealuseid, mille külge poogitakse valitud poogend.
Siia klassi kuulub:
- istikute kasvatamine
- dekoratiivtaimede kasvatamine, k.a siirdmuru kasvatamine
- taimede kasvatamine sibulate, mugulate ja juurte paljundamiseks, pist- ja pookokste kasvatamine, seeneniidistiku kasvatamine
- puukoolide (v.a metsapuid kasvatavate puukoolide) tegevus";;"taimede kasvatamine seemnete tootmiseks, vt 011, 012
metsapuid kasvatavate puukoolide tegevus, vt 0210";;JAH
01301;0130;Taimede paljundamine;"Siia klassi kuulub kogu taimelise istutusmaterjali tootmine, k.a pistikute, juurevõsude ja seemikute kasvatamine kas taimede otseseks paljundamiseks või selleks, et luua pookealuseid, mille külge poogitakse valitud poogend.
Siia klassi kuulub:
- istikute kasvatamine
- dekoratiivtaimede kasvatamine, k.a siirdmuru kasvatamine
- taimede kasvatamine sibulate, mugulate ja juurte paljundamiseks, pist- ja pookokste kasvatamine, seeneniidistiku kasvatamine
- puukoolide (v.a metsapuid kasvatavate puukoolide) tegevus";"biokatuse (murumätas) kattematerjali (tootmine) kasvatamine
maasikataimede ja marjapõõsaste ettekasvatus
murumätaste (mattide) kasvatamine ümberistutamiseks";"taimede kasvatamine seemnete tootmiseks, vt 011, 012
metsapuid kasvatavate puukoolide tegevus, vt 02101";;JAH
014;01;Loomakasvatus;"Siia gruppi kuulub:
- kõigi loomade (v.a veeloomade) kasvatamine ja aretamine";;"põllumajandusloomade pidamine või talitamine rendi- vms suhte alusel, vt 0162
tapamajadest pärit nahkade tootmine, vt 1011";;EI
0141;014;Piimakarjakasvatus;"Siia klassi kuulub:
- piimaveiste ja/või -pühvlite kasvatamine ja aretamine
- lehmade või pühvlite toorpiima tootmine
- piimaveiste sperma tootmine";;piima töötlemine, vt 1051;;JAH
01411;0141;Piimakarjakasvatus;"Siia klassi kuulub:
- piimaveiste ja/või -pühvlite kasvatamine ja aretamine
- lehmade või pühvlite toorpiima tootmine
- piimaveiste sperma tootmine";;"piima töötlemine, vt 10511
koduloomade (piimakarja) vedelatest ja tahketest väljaheitetest või nende segudest koos allapanuga tekkinud jääte tootmine, vt 20151";;JAH
0142;014;Muu veislaste ja pühvlikasvatus;"Siia klassi kuulub:
- lihaveiste ja -pühvlite kasvatamine ja aretamine
- lihaveiste sperma tootmine
Siia klassi kuulub ka:
- veoveiste või -pühvlite kasvatamine ja aretamine
- võitluspullide kasvatamine ja aretamine";;;;JAH
01421;0142;Muu veislaste ja pühvlikasvatus;"Siia klassi kuulub:
- lihaveiste ja -pühvlite kasvatamine ja aretamine
- lihaveiste sperma tootmine
Siia klassi kuulub ka:
- veoveiste või -pühvlite kasvatamine ja aretamine
- võitluspullide kasvatamine ja aretamine";vasikakasvatus;koduloomade (veislaste) vedelatest ja tahketest väljaheitetest või nende segudest koos allapanuga tekkinud jääte tootmine, vt 20151;;JAH
0143;014;Hobusekasvatus ja muude hobuslaste kasvatus;"Siia klassi kuulub:
- hobuste, eeslite, muulade ja hobueeslite kasvatamine ja aretamine, sõltumata eesmärgist";;võidusõidu- ja ratsatallide tegevus (kui seal ei tegeleta aretusega), vt 9319;;JAH
01431;0143;Hobusekasvatus ja muude hobuslaste kasvatus;"Siia klassi kuulub:
- hobuste, eeslite, muulade ja hobueeslite kasvatamine ja aretamine, sõltumata eesmärgist";;"võidusõidu- ja ratsatallide tegevus (kui seal ei tegeleta aretusega), vt 93199
koduloomade (hobuslaste) vedelatest ja tahketest väljaheitetest või nende segudest koos allapanuga tekkinud jääte tootmine, vt 20151";;JAH
0144;014;Kaamelikasvatus;"Siia klassi kuulub:
- kaamelite (dromedaride) ja kaamellaste kasvatamine ja aretamine";;;;JAH
01441;0144;Kaamelikasvatus;"Siia klassi kuulub:
- kaamelite (dromedaride) ja kaamellaste kasvatamine ja aretamine";;;;JAH
0145;014;Lamba- ja kitsekasvatus;"Siia klassi kuulub:
- lammaste ja kitsede kasvatamine ja aretamine
- lamba või kitse toorpiima tootmine
- toorvilla tootmine";;"lammaste pügamine tasu eest või lepingu alusel, vt 0162
kitkevilla tootmine, vt 1011
piima töötlemine, vt 1051";;JAH
01451;0145;Lamba- ja kitsekasvatus;"Siia klassi kuulub:
- lammaste ja kitsede kasvatamine ja aretamine
- lamba või kitse toorpiima tootmine
- toorvilla tootmine";;"lammaste pügamine tasu eest või lepingu alusel, vt 01621
kitkevilla tootmine, vt 10111
piima töötlemine, vt 10511
koduloomade (lammaste ja kitsede) vedelatest ja tahketest väljaheitetest või nende segudest koos allapanuga tekkinud jääte tootmine, vt 20151";;JAH
0146;014;Seakasvatus;"Siia klassi kuulub:
- sigade kasvatamine ja aretamine";;;;JAH
01461;0146;Seakasvatus;"Siia klassi kuulub:
- sigade kasvatamine ja aretamine";;koduloomade (sigade) vedelatest ja tahketest väljaheitetest või nende segudest koos allapanuga tekkinud sõnniku tootmine, vt 20151;;JAH
0147;014;Kodulinnukasvatus;"Siia klassi kuulub:
- kodulindude kasvatamine ja aretamine, nt:
 • kanad, kalkunid, pardid, haned, vutid, jaanalinnud või pärlkanad
- kodulindude munade tootmine
- haudejaamade käitamine
- kodulindude munade inkubeerimine";;sulgede ja udusulgede tootmine, vt 1012;;JAH
01471;0147;Kodulinnukasvatus;"Siia klassi kuulub:
- kodulindude kasvatamine ja aretamine, nt: kanad, kalkunid, pardid, haned, vutid, jaanalinnud või pärlkanad
- kodulindude munade tootmine
- haudejaamade käitamine
- kodulindude munade inkubeerimine";;"sulgede ja udusulgede tootmine, vt 10121
kodulindude vedelatest ja tahketest väljaheitetest või nende segudest koos allapanuga tekkinud jääte tootmine, vt 20151";;JAH
0148;014;Muu loomakasvatus;"Siia klassi kuulub:
- poolkodustatud või muude elusloomade kasvatamine ja aretamine:
 • linnud (v.a kodulinnud ja jaanalinnud)
 • putukad
 • küülikud vm karusloomad
 • põhjapõdrad
- linnunahkade tootmine kasvandustes või roomajate kasvatamisest saadud nahkade tootmine (nt maod ja kilpkonnad)
- roomajate kasvatamine ja aretamine (v.a krokodillid)
- maismaaussi-, -molluski-, -teofarmide jms tegevus
- siidiusside kasvatamine, siidiussikookonite tootmine
- mesindus; mesilassaaduste (mesi, mesilasvaha, taruvaik, mesilasmürk, meekärjed) tootmine; mesilaste paljundamine müügiks
- lemmikloomade kasvatamine ja aretamine (v.a kalad), nt:
 • kassid ja koerad
 • linnud, nt papagoid
 • hamstrid";;"jahipidamisest pärit nahkade tootmine, vt 0170
dekoratiivkalade kasvatamine, vt 032
konnade, krokodillide, hulkharjasusside kasvanduste tegevus, vt 0321, 0322
kalakasvanduste tegevus, vt 0321, 0322
lemmikloomade hooldamine ja treenimine, vt 9699
lemmikloomade varjupaikade tegevus, vt 9699";;JAH
01481;0148;Mesindus;"Siia klassi kuulub:
- mesindus; mesilassaaduste (mesi, mesilasvaha, taruvaik, mesilasmürk, meekärjed) tootmine; mesilaste paljundamine müügiks";"mesilaste pidamine; mee ja mesilasvaha esmatootmine ning mesindusega ja mee tootmisega seotud toiminguid; sealhulgas mee tootmisega seotud toimingud mesilastarudes, meekärgede kogumine ja transport, mee vurritamine või pressimine, filtreerimine, selitamine ning pakendamine esmatootja juures";meekäitlemise toimingud (vurritamine, pakendamine) väljaspool mesiniku valdusi, teise mesiniku mee vurritamine või pakendamine, meesegude valmistamine, lisandite (näiteks pähklite, marjade vms) lisamine meele, vt 10891;;JAH
01489;0148;Muu loomakasvatus;"Siia klassi kuulub:
- poolkodustatud või muude elusloomade kasvatamine ja aretamine: linnud (v.a kodulinnud ja jaanalinnud), putukad, küülikud vm karusloomad, põhjapõdrad
- linnunahkade tootmine kasvandustes või roomajate kasvatamisest saadud nahkade tootmine (nt maod ja kilpkonnad)
- roomajate kasvatamine ja aretamine (v.a krokodillid)
- maismaaussi-, -molluski-, -teofarmide jms tegevus
- siidiusside kasvatamine, siidiussikookonite tootmine
- lemmikloomade kasvatamine ja aretamine (v.a kalad), nt: kassid ja koerad, linnud, nt papagoid, hamstrid";metsalindude kasvatamine, nt faasanid jms;"jahipidamisest pärit nahkade tootmine, vt 01701
dekoratiivkalade kasvatamine, vt 032
konnade, krokodillide, hulkharjasusside kasvanduste tegevus, vt 03211, 03221
kalakasvanduste tegevus, vt 03211, 03221
lemmikloomade hooldamine ja treenimine, vt 96991
lemmikloomade varjupaikade tegevus, vt 96991
jaanalindude ja emude kasvatamine ja aretamine, vt 01471";;JAH
015;01;Segapõllumajandus;;;;;EI
0150;015;Segapõllumajandus;"Siia klassi kuulub taimekasvatusega kombineeritud loomakasvatus, st tootmine ei ole spetsialiseeritud kummalegi tegevusalale. 
RAKENDAMISE REEGEL:
Põllumajandusliku üksuse suurus ei ole määrav tegur. Kui taimekasvatuse või loomakasvatuse toodang moodustab standardsest brutomarginaalist 66% või enam, siis ei kuulu üksus segapõllumajanduse alla, vaid tuleb liigitada kas taime- või loomakasvatuse alla.";;"segataimekasvatus, vt 011, 012
segaloomakasvatus, vt 014";;JAH
